Name,Description,Description (with html),Override url,Type,NEW CUSTOM ADDRESS/WHAT3WORDS,Image 1,Latitude,Longitude,Destination,Region,Region 2,Image 2,Image 3,Image 4,Image 5
Cerro Tres Reyes,"Cerro Tres Reyes is a mountain in Nahuel Huapi National Park, standing at 2,063 metres.","<p>Cerro Tres Reyes is a mountain in Nahuel Huapi National Park, standing at 2,063 metres.</p>",argentina/lake-district/nahuel-huapi/cerro-tres-reyes,Mountain,,,-41.171906,-71.528857,Patagonia,Argentine Lakes,,,,,
Cerro Vespignani,"Located next to Lago del Desierto, to the North of El Chalten, Cerro Vespignani is arguably the best peak in the area which can be climbed in just one day. The climb is not overly technical, and from the top there are magnificient views of the South Patagonian Ice Field.","<p>Located next to Lago del Desierto, to the North of El Chalten, Cerro Vespignani is arguably the best peak in the area which can be climbed in just one day. The climb is not overly technical, and from the top there are magnificient views of the South Patagonian Ice Field.</p>",argentina/los-glaciares/el-chalten/cerro-vespignani,Mountain,,https://imgix.swoop-patagonia.com/Vespignani_3.jpg,-49.050934,-72.927216,Patagonia,Los Glaciares,,https://imgix.swoop-patagonia.com/Vespignani_1.jpg,https://imgix.swoop-patagonia.com/Vespignani_2.jpg,https://imgix.swoop-patagonia.com/Vespignani_4.jpg,
Cerro Zapata,"Cerro Zapata (1590m/5,220ft) is located in Torres del Paine National Park. It is possible to climb to the summit on a 26km day hike from Zapata camp.","<p>Cerro Zapata (1590m/5,220ft) is located in Torres del Paine National Park. It is possible to climb to the summit on a 26km day hike from Zapata camp.</p>",,Mountain,,,-51.0533758,-73.3603053,Patagonia,Torres del Paine,,,,,
Chaitén,"Capital of the Province of Palena, Chaiten is home to an impressive volcano which last erupted in 2008 leading to the evacuation of the city some 6 miles away.","<p>Capital of the Province of Palena, Chait&eacute;n is home to an impressive volcano which last errupted in 2008 leading to the evacuation of the city some 6 miles away.</p>",chile/lake-district/chaiten,Town,,,-42.91218339,-72.70751953,Patagonia,Chilean Lakes,,,,,
Chaitén Volcano,Chaitén Volcano is located in Pumalín Park in Chile. It is an active volcano surrounded by temperate rainforest and can be visited on a day-hike from Chaitén village.,<p>Chaitén Volcano is located in Pumalín Park in Chile. It is an active volcano surrounded by temperate rainforest and can be visited on a day-hike from Chaitén village.</p>,,Volcano,,,-42.8372662,-72.654137,Patagonia,Chilean Lakes,,,,,
Chapelco Airport (CPC),"This airport can be used to access the northern part of the Argentinian Lake District around San Martin de los Andes, as well as the fishing lodges and rivers around this area.","<p>This airport can be used to access the northern part of the Argentinian Lake District around San Martin de los Andes, as well as the fishing lodges and rivers around this area.</p>",argentina/lake-district/chapelco-airport,Airport,"El puente, Callejón de Bello y, San Martín de los Andes, Neuquén, Argentina",,-40.07386811,-71.13527298,Patagonia,Argentine Lakes,,,,,
Chepu River Valley,The Chepu River Valley is located on the west coast of Chiloé Island.,<p>The Chepu River Valley is located on the west coast of Chiloé Island.</p>,,River,,,-42.0476292,-73.985285,Patagonia,Chilean Lakes,,,,,
Chile Chico,"A small town on the southern shore of the Lago Genereal Carrera, it is one of the largest of the surrounding settlements. Just 4km west of the border with Argentina, it serves as a nice little stop-over when crossing between Chile and Argentina. Crossing the lake by ferry to Puerto Ibanez on the north shore is a lovely experience in the summer sun, as is following the route along the shoreline by car.","<p>A small town on the southern shore of the Lago Genereal Carrera, it is one of the largest of the surrounding settlements. Just 4km west of the border with Argentina, it serves as a nice little stop-over when crossing between Chile and Argentina. Crossing the lake by ferry to Puerto Ibanez on the north shore is a lovely experience in the summer sun, as is following the route along the shoreline by car.</p>",chile/aysen/chile-chico,Town,,https://imgix.swoop-patagonia.com/Patagonia-0083.jpg,-46.541225,-71.722482,Patagonia,Aysen,,https://imgix.swoop-patagonia.com/Patagonia-0059.jpg,https://imgix.swoop-patagonia.com/Patagonia-0069.jpg,,
Chillán Nuevo volcano,"Chillán Nuevo is one of the three main volcanic cones within the Nevados de Chillán Volcanic Complex, an active group of stratovolcanoes in the Andes of the Ñuble Region, Central Chile. This dome complex was formed between 1906 and 1945 and is known for its ongoing volcanic activity. 3,212 m (10,538 ft)","<p><span>3,212 m (10,538 ft)</span></p>",chile/chillan-nuevo-volcano,Volcano,,,-36.87412794,-71.36684418,Patagonia,Santiago and Central Chile,,,,,
Chiloe Island,"Chiloe is a truly unique location. Its vast coastline, wetlands, river systems, forests and fields offer some of the richest bird watching in Southern Chile; even from the 30 minute ferry journey to access the island, you can spot dolphins, penguins and groups of playful sea lions. On arrival on the island you will be met with rolling countryside, dramatic coastal scenery, quiet bays and inlets, and allwith a back drop of the mighty snow peaked Andes. Get off the beaten track for a few days hiking the rugged pacific coast, sea kayak in the peaceful water channels, visit penguin colonies and explore beautiful wooden Jesuit churches on the Eastern Coast. More about Chiloe &gt;&gt;","<p>Chiloe is a truly unique location. Its vast coastline, wetlands, river systems, forests and fields offer some of the richest bird watching in Southern Chile; even from the 30 minute ferry journey to access the island, you can spot dolphins, penguins and groups of playful sea lions. On arrival on the island you will be met with rolling countryside, dramatic coastal scenery, quiet bays and inlets, and allwith a back drop of the mighty snow peaked Andes. Get off the beaten track for a few days hiking the rugged pacific coast, sea kayak in the peaceful water channels, visit penguin colonies and explore beautiful wooden Jesuit churches on the Eastern Coast.</p>↵<p><a class=""button-1-right"" href=""/chilean-lakes/chiloe/"" target=""_self"">More about Chiloe &gt;&gt;</a></p>↵<p>&nbsp;</p>",chile/lake-district/chiloe/chiloe-island,Island,,https://imgix.swoop-patagonia.com/chiloe.jpg,-41.898005,-73.877267,Patagonia,Chilean Lakes,,,,,
Chituca Mountain Lodge,"Chituca Mountain Lodge is located to the southwest of the Uyuni Salt Flats, on the Bolivian Altiplano.","<p>Chituca Mountain Lodge is located to the southwest of the Uyuni Salt Flats, on the Bolivian Altiplano.</p>",,Lodge,,https://imgix.swoop-patagonia.com/EXP_5_EXP_RTD_Explora-Chituca-Mountain-Lodge.jpg,-20.87184,-68.0047,Patagonia,Bolivia,,,,,
Chonchi,"Chonchi is a village port on the coast of Chiloé Island in Chile. Boats sail from here on excursions around the nearby islands of Lemuy, Chelin and Quehui.","<p>Chonchi is a village port on the coast of Chiloé Island in Chile. Boats sail from here on excursions around the nearby islands of Lemuy, Chelin and Quehui.</p>",,Village,,,-42.6206996,-73.7708639,Patagonia,Chilean Lakes,,,,,
Chorrillo del Salto,"Chorrillo del Salto is a waterfall with a drop of around 20 metres, which can be reached by a 3km walk from El Chalten. The waterfall is hidden in a lenga forest and the area around it is a great place to relax on a fine day. In the winter months, it freezes over completely and is popular with ice climbers.","<p>Chorrillo del Salto is a waterfall with a drop of around 20 metres, which can be reached by a 3km walk from El Chalten. The waterfall is hidden in a lenga forest and the area around it is a great place to relax on a fine day. In the winter months, it freezes over completely and is popular with ice climbers.</p>",argentina/los-glaciares/el-chalten/chorillo-salto,Waterfall,,https://imgix.swoop-patagonia.com/Chorrillo_del_Salto_1c.jpg,-49.295597,-72.908128,Patagonia,Los Glaciares,,,,,
Circo de los Altares,On the Western side of Cerro FitzRoy this provides relative cover on the edge of the Patagonian Ice Cap.,<p>On the Western side of Cerro FitzRoy this provides relative cover on the edge of the Patagonian Ice Cap.</p>,argentina/los-glaciares/el-chalten/circo-altares,Campsite,,https://imgix.swoop-patagonia.com/HPS.jpg,-49.284604,-73.148201,Patagonia,Los Glaciares,,,,,
Clos Apalta Winery,"This revolutionary winery is solely dedicated to the production of Casa Lapostolle's world-class icon wine, Clos Apalta. The winery is 100% gravity-fed spanning five levels, three of which are buried into the granite of the Apalta hillside to provide a natural cool temperature environment for cellaring and ageing.","<p>This revolutionary winery is solely dedicated to the production of Casa ↵Lapostolle's world-class icon wine, Clos Apalta. The winery is 100% ↵gravity-fed spanning five levels, three of which are buried into the ↵granite of the Apalta hillside to provide a natural cool temperature ↵environment for cellaring and ageing.</p>",chile/santiago/apalta-winery,Vineyard,,,-34.586,-71.294,Patagonia,Santiago and Central Chile,,,,,
Cochamó,"The town of Cochamo is a wonderful base for a range of activities in the area. Mountain biking, trekking and horse riding are great ways to see this verdant region, as you cross rivers, visit waterfalls and ride through dense rainforest on your way up to La Junta Valley. This remote place east of the Reloncaví Estuary holds lots of lakes for kayaking in Cochamo, if you fly in from Puerto Varas or Puerto Montt you can be kayaking on Lake Tagua Tagua only a few hours later. More about Cochamo &gt;&gt;","<p>The town of Cochamo is a wonderful base for a range of activities in the area.</p>↵<p>Mountain biking, trekking and horse riding are great ways to see this verdant region, as you cross rivers, visit waterfalls and ride through dense rainforest on your way up to La Junta Valley. This remote place east of the Reloncaví Estuary holds lots of lakes for kayaking in Cochamo, if you fly in from Puerto Varas or Puerto Montt you can be kayaking on Lake Tagua Tagua only a few hours later.</p>↵<p><a class=""button-1-right"" href=""/cochamo/"" target=""_self"">More about Cochamo &gt;&gt;</a></p>↵<p>&nbsp;</p>",chile/lake-district/cochamo/cochamo,Town,,,-41.49289233,-72.30360031,Patagonia,Chilean Lakes,,,,,
Cochrane,"Cochrane is the base for many adventures into the Aisen region of Chile. It is the provincial capital of Prat Province and one of the main and most comprehensvie supply and service centres to the south of Chile Chico. Tamango National Reserve, designed for the conservation of South Andean Deer, lies nearby and also offers fishing trips and long walks suitable for all ages. For the mountaineers among you, Mt San Lorenzo (3, 706m) - one of the highest peaks in Patagonia, is accessible from the town.","<p>Cochrane is the base for many adventures into the Aisen region of Chile.&nbsp; It is the provincial capital of PratProvince and one of the main and most comprehensvie supply and service centres to the south of Chile Chico.</p>↵<p>Tamango National Reserve, designed for the conservation of South Andean Deer, lies nearby and also offers fishing trips and long walks suitable for all ages.</p>↵<p>For the mountaineers among you, Mt San Lorenzo (3, 706m) - one of the highest peaks in Patagonia, is accessible from the town.</p>",chile/aysen/cochrane,Town,,,-47.25383473,-72.57499695,Patagonia,Aysen,,,,,
Comau Fjord (Leptepu),"The spot to go to see sea lion colonies in the wild. Jump in a kayak and find yourself literally metres from them. You'll also see snow-capped peaks and lush forests with native trees including the famous Chilean alerce. You'll see plunging waterfalls, granite slopes dropping into the water and get the chance to relax in one of this regions many natural springs.","<p>The spot to go to see sea lion colonies in the wild. Jump in a kayak and find yourself literally metres from them. You'll also see snow-capped peaks and lush forests with native trees including the famous Chilean alerce. You'll see plunging waterfalls, granite slopes dropping into the water and get the chance to relax in one of this regions many natural springs.</p>",chile/lake-district/coma-fjord,Fjord,,,-42.49893428,-72.44247437,Patagonia,Chilean Lakes,,,,,
"Confluencia (3,450m)","Camp Confluencia is around a 4 hour hike (normally taken at a very steady pace) from the entrance to the Aconcagua Provincial Park. It's not quite as large as Plaza de Mulas and has fewer services but it's well established with several mess tents and very basic toilet facilities. Confluencia is normally the base for an acclimatisation day to Plaza Francia along the eastern edge of the 10km long Horcones glacier ( Ventisquero Horcones Inferior). From Confluencia the route up to basecamp is via the Horcones valley, and normally an 8-9 hour day.","<p>Camp Confluencia is around a 4 hour hike (normally taken at a very steady pace) from the entrance to the Aconcagua Provincial Park. It's not quite as large as <a href=""/landmark/plaza-de-mulas-4367m/"">Plaza de Mulas</a> and has fewer services but it's well established with several mess tents and very basic toilet facilities.</p>↵<p>Confluencia is normally the base for an acclimatisation day to <a href=""/landmark/plaza-francia-4228m/"">Plaza Francia</a> along the eastern edge of the 10km long Horcones glacier (<span>Ventisquero Horcones Inferior).</span></p>↵<p><span>From Confluencia the route up to basecamp is via the Horcones valley, and normally an 8-9 hour day.</span></p>",travel/mountaineering/aconcagua/confluencia,Campsite,,https://imgix.swoop-patagonia.com/Acon_Confluence_LE_Jan-13.jpg,-32.75804625,-69.96677399,Patagonia,Mendoza,,https://imgix.swoop-patagonia.com/Acon_Confluencia_2_LE_Jan-13.jpg,https://imgix.swoop-patagonia.com/Acon_Confluencia_3_LE_Jan-13.jpg,,
Conguillio National Park,"Conguillío National Park is a stunning national park in the Araucanía Region of Chile, famous for its otherworldly, volcanic landscapes dominated by the active Llaima volcano, ancient forests of ""monkey puzzle"" trees (araucaria), and beautiful lakes and lagoons formed by lava flows.",<p>Conguillio National Park</p>,chile/lake-district/conguillio,National Park,,,-38.666952,-71.650055,Patagonia,Chilean Lakes,,,,,
Copiapó,"This is a major city and a mining hub in the Atacama Desert region of northern Chile, known for its historic mining heritage and as a gateway to the desert's unique landscapes.","<p>This is a major city and a mining hub in the Atacama Desert region of northern Chile, known for its historic mining heritage and as a gateway to the desert's unique landscapes.</p>",,Town,,,-27.36728035,-70.32409905,Patagonia,Atacama,,,,,
Cordillera Baguales,"The Cordillera Baguales are lesser-explored range of mountains in Patagonia, Chile. There are stunning views of Torres del Paine from the summit.","<p>The Cordillera Baguales are lesser-explored range of mountains in Patagonia, Chile. There are stunning views of Torres del Paine from the summit.</p>",,Mountain Pass,,,-50.870157,-72.5652768,Patagonia,Torres del Paine,,,,,
Cordillera Darwin,"The Darwin range lies in the Chilean part of Tierra del Fuego, and offers the chance to trek in a remote and impressive landscape. The highest mountain in the range is Monte Darwin, which is a challenging peak to climb.","<p>The Darwin range lies in the Chilean part of Tierra del Fuego, and offers the chance to trek in a remote and impressive landscape. The highest mountain in the range is Monte Darwin, which is a challenging peak to climb.</p>",regions/tierra-del-fuego/cordillera-darwin,Mountain,,https://imgix.swoop-patagonia.com/Darwin_Mountains.jpg,-54.75,-69.483333,Patagonia,Tierra del Fuego,,,,,
Cordillera de Sal,"The Cordillera de la Sal (Salt Mountain Range) is a unique geological formation near San Pedro de Atacama, Chile, composed of salt, clay, and gypsum that have been sculpted by wind and water into surreal, Martian-like landscapes and canyons.","<p>The Cordillera de la Sal (Salt Mountain Range) is a unique geological formation near San Pedro de Atacama, Chile, composed of salt, clay, and gypsum that have been sculpted by wind and water into surreal, Martian-like landscapes and canyons.</p>",,Mountain,,,-23.04089988,-68.36467886,Patagonia,Atacama ,,,,,
Cordoba Pass,"The Cordoba Pass (1311m) is located on Route 63, between Lake Traful and Lake Filo Hua Hum. It is a popular destination for cyclists.","<p>The Cordoba Pass (1311m) is located on Route 63, between Lake Traful and Lake Filo Hua Hum. It is a popular destination for cyclists.</p>",,Mountain Pass,,,-40.5918218,-71.1457266,Patagonia,Argentine Lakes,,,,,
Coyhaique,"Coyhaique is a provincial and regional capital, known for its interesting pentagonal design. It is also key access point into Patagonia and onto the Carretera Austral, the magical route that connects northern Chile to its southern wilderness. The airport at Balmaceda is just 55km away, making this the perfect first stop at which to get your bearings once you land. It's a sizeable city for the region, home to 55 000 people, and has all of the necessities you might expect. Positioned on the confluence of the Simpson and Coyhaique Rivers, it is a great place for fly-fishing.","<p><span style=""font-size: 13px; font-family: arial,sans,sans-serif; color: #000000; text-align: left;""><!-- td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;} --><span style=""font-size: 13px; font-family: arial,sans,sans-serif; color: #000000; text-align: left;"">Coyhaique is a provincial and regional capital, known for its interesting pentagonal design.  It is also key access point into Patagonia and onto the Carretera Austral, the magical route that connects northern Chile to its southern wilderness.  The airport at Balmaceda is just 55km away, making this the perfect first stop at which to get your bearings once you land.  It's a sizeable city for the region, home to 55 000 people, and has all of the necessities you might expect.  Positioned on the confluence of the Simpson and Coyhaique Rivers, it is a great place for fly-fishing.</span></span></p>",chile/aysen/coyhaique/coyhaique,Town,,,-45.570261,-72.068827,Patagonia,Aysen,,,,,
Cuernos del Paine,"Where to find them Torres del Paine National Park, Chile What are they? The Cuernos del Paine or 'Paine horns' is a collective name given to a set of spiky granite peaks in Torres del Paine National Park , all of which stand at over 2000 metres high. The spikes have fittingly sharp names: to the north, the Aleta de Tiburón (Shark's Fin), to the east, from north to south, Fortaleza (Fortress), La Espada (The Sword), La Hoja (The Blade), La Máscara (The Mask), Cuerno Norte (North Horn), and Cuerno Principal (Main Horn).The Cuernos del Paine also lend their name to one of the park's 'refugios' or 'lodges', Refugio and Camping Los Cuernos . How can I see them? The Cuernos are located in the middle of the W Trek, the most popular route for trekking in Torres del Paine National Park. Best views are from the top of Valle Frances, often hiked on day 3 of a traditional W Trek. Find out more about... Hiking in Torres del Paine The W Trek Getting to Torres del Paine","<h4 style=""color: rgb(0, 0, 0);""><b>Where to find them</b></h4><p style="""">Torres del Paine National Park, Chile</p><h4><b>What are they?</b></h4><p>The Cuernos del Paine or 'Paine horns' is a collective name given to a set of spiky granite peaks in&nbsp;<span style=""background-color: rgb(255, 255, 255);"">Torres del Paine National Park</span>,&nbsp;all of which stand at over 2000 metres high.&nbsp;</p><p>The spikes have fittingly sharp names: to the north, the&nbsp;<em>Aleta de Tiburón&nbsp;</em>(Shark's Fin), to the east, from north to south,&nbsp;<em>Fortaleza</em>&nbsp;(Fortress),&nbsp;<em>La Espada</em>&nbsp;(The Sword),&nbsp;<em>La Hoja</em>&nbsp;(The Blade),&nbsp;<em>La Máscara</em>&nbsp;(The Mask),&nbsp;<em>Cuerno Norte</em>&nbsp;(North Horn), and&nbsp;<em>Cuerno Principal</em>&nbsp;(Main Horn).<br></p><p>The Cuernos del Paine also lend their name to one of the park's 'refugios' or 'lodges',&nbsp;<span style=""background-color: rgb(255, 255, 255);"">Refugio and Camping Los Cuernos</span>.</p><h4><b>How can I see them?</b></h4><p>The Cuernos are located in the middle of the W Trek, the most popular route for trekking in Torres del Paine National Park. Best views are from the top of <a href=""http://www.swoop-patagonia.co.uk/landmark/valle-frances/"">Valle Frances</a>, often hiked on day 3 of a traditional W Trek.&nbsp;</p><h4><b>Find out more about...&nbsp;</b></h4>↵<ul><li><a href=""https://www.swoop-patagonia.com/chile/torres-del-paine/hiking"" target=""_blank"">Hiking in Torres del Paine</a></li><li><a href=""https://www.swoop-patagonia.com/chile/torres-del-paine/hiking/w-trek/original"" target=""_blank"">The W Trek</a></li><li><a href=""https://www.swoop-patagonia.com/chile/torres-del-paine/getting-there"" target=""_blank"">Getting to Torres del Paine</a></li></ul>",chile/torres-del-paine/cuernos-paine,Mountain,,https://imgix.swoop-patagonia.com/cuernos3.jpg,-50.99539137,-73.02509308,Patagonia,Torres del Paine,,https://imgix.swoop-patagonia.com/cuernos-hike.jpg,https://imgix.swoop-patagonia.com/SW_4_HARRIET-PIKE_CUERNOS-2.JPG,https://imgix.swoop-patagonia.com/SWO_4_CHLOE-OKEEFE_ALL_CHLOECUERNOS.jpg,https://imgix.swoop-patagonia.com/Cuernos_from_Pehoe.JPG
Cueva de las Manos,The Cueva de las Manas (Cave of the Hands) is one of the most important archaeological sites in South America. The cave paintings date from between 9300 to 3300 years ago and were made by the ancestors of the Tehuelche people. The site was declared a UNESCO World Heritage site in 1999.,<p>The Cueva de las Manas (Cave of the Hands) is one of the most important archaeological sites in South America. The cave paintings date from between 9300 to 3300 years ago and were made by the ancestors of the Tehuelche people. The site was declared a UNESCO World Heritage site in 1999.</p>,,Attraction,,,-47.1524402,-70.6628537,Patagonia,Welsh Patagonia and Ruta 40,,,,,
Dalcahue,"The small coastal town of Dalcahue is one of the best places on Chiloé for handicrafts shopping: its Sunday market attracts artisans from across the island to sell their wares. Woollen goods including jumpers, hats and chunky socks, all hand-dyed with natural pigments make the best souvenirs here. If you can’t make it on a Sunday, a smaller version of the market runs throughout the week. Chile’s 1960 earthquake saw the destruction of most of Dalcahue’s palafitos (waterfront stilt houses), but the town’s most important traditional wooden church survived the tremor. The Iglesia de Nuestra Señora de los Dolores (Church of Our Lady of Sorrows) with its nine-arched facade, octagonal bell tower and interior barrel roof in simple whitewash was built in 1849, and is one of the 16 churches that collectively won Chiloé its UNESCO World Heritage-listed status in 2015. From Dalcahue, it’s possible to take a short ferry trip across the channel to Quinchao Island , where you can visit the equally imposing Iglesia Santa María de Loreto , Chiloés oldest church, built by the Jesuits in 1740.","<p>The small coastal town of<b> Dalcahue</b> is one of the best places on <a href=""https://www.swoop-patagonia.com/chile/lake-district/chiloe"" target=""_blank"">Chiloé</a> for handicrafts shopping: its <b>Sunday market</b> attracts artisans from across the island to sell their wares. Woollen goods including jumpers, hats and chunky socks, all hand-dyed with natural pigments make the best souvenirs here. If you can’t make it on a Sunday, a smaller version of the market runs throughout the week. <br><br>Chile’s 1960 earthquake saw the destruction of most of Dalcahue’s <b>palafitos</b> (waterfront stilt houses), but the town’s most important traditional wooden church survived the tremor. The <b>Iglesia de Nuestra Señora de los Dolores</b> (Church of Our Lady of Sorrows) with its nine-arched facade, octagonal bell tower and interior barrel roof in simple whitewash was built in 1849, and is one of the 16 churches that collectively won Chiloé its UNESCO World Heritage-listed status in 2015. <br><br>From Dalcahue, it’s possible to take a short ferry trip across the channel to <b>Quinchao Island</b>, where you can visit the equally imposing <b>Iglesia Santa María de Loreto</b>, Chiloés oldest church, built by the Jesuits in 1740. <br><br><br></p>",,Town,,,-42.3797,-73.6527,Patagonia,Chilean Lakes,,,,,
Death Valley,"Death Valley (Valle de la Muerte) is a desert valley near San Pedro de Atacama, Chile, known for its surreal, Mars-like landscape of jagged rock formations and massive sand dunes, making it a popular spot for sandboarding and watching the sunset","<table border=""0"" cellspacing=""0"" cellpadding=""0"" width=""209"">↵<tbody>↵<tr height=""20"">↵<td width=""209"" height=""20"">Death Valley</td>↵</tr>↵</tbody>↵</table>↵<p>&nbsp;</p>",chile/atacama-desert/death-valley,Valley,,,-22.861323,-68.230704,Patagonia,Atacama,,,,,
Diablo Lake and Hill,Diablo Lake and Hill are located in the Los Glaciares region. The trail in this area is in a private reserve and is one of Chalténs lesser-known gems.,<p>Diablo Lake and Hill are located in the Los Glaciares region. The trail in this area is in a private reserve and is one of Chalténs lesser-known gems.</p>,,Lake,,,-49.1850176,-72.9734628,Patagonia,Los Glaciares,,,,,
Dickson Valley & Glacier,"Dickson Lake and Glacier are found in the northern part of the famous Torres del Paine National Park in Chilean Patagonia. Only 5% of visitors to the park come to see the beauty of this valley, which is visited on the Full Circuit trek of Paine as opposed to the W Circuit, which takes in the highlights of Las Torres, Valle Frances and Glacier Grey. Dickson has a campsite and Refugio for trekkers and bikers, who come this way on guided mountain biking tours. To find out more about visiting Lago Dickson, see our Torres del Paine page.","<p>Dickson Lake and Glacier are found in the northern part of the famous Torres del Paine National Park in Chilean Patagonia. Only 5% of visitors to the park come to see the beauty of this valley, which is visited on the <a href=""/full-circuit-torres-del-paine/"" target=""_self"">Full Circuit</a> trek of Paine as opposed to the W Circuit, which takes in the highlights of&nbsp;<a href=""/landmark/torres-del-paine-look-out-via-valle-ascensio/"" target=""_self"">Las Torres</a>, <a href=""/landmark/valle-frances/"" target=""_self"">Valle Frances</a> and <a href=""/landmark/lago-grey/"" target=""_self"">Glacier Grey</a>.</p>↵<p>Dickson has a campsite and Refugio for trekkers and bikers, who come this way on guided mountain biking tours. To find out more about visiting Lago Dickson, see our <a href=""/torres-del-paine/"" target=""_self"">Torres del Paine</a> page.</p>",chile/torres-del-paine/dickson-valley,Glacier,,,-50.87915635,-73.07603359,Patagonia,Torres del Paine,,,,,
Dientes de Navarino,"The Dientes de Navarino or 'Navarino Teeth' located on Navarino Island in the Chilean part of Tierra del Fuego, get their name from the formation of these peaks in a semi circle that resembles a jaw full of teeth. The trail was first discovered in the early 1990's by Australian climber and author, Clem Lindenmayer. Find out more about the trek here. The town of Puerto Williams is the main access point for the trek which can be accessed on a flight from Punta Arenas. The town is very small so provisions are best acquired in Punta Arenas.","<p>The Dientes de Navarino or 'Navarino Teeth' located on Navarino Island in the Chilean part of <a href=""/tierra-del-fuego/"">Tierra del Fuego</a>, get their name from the formation of these peaks in a semi circle that resembles a jaw full of teeth. The trail was first discovered in the early 1990's by Australian climber and author, Clem Lindenmayer. Find out more about the trek <a href=""https://www.swoop-patagonia.com/regions/tierra-del-fuego/hiking/dientes-navarino"">here</a>.</p>↵<p>The town of <a href=""https://www.swoop-patagonia.com/regions/tierra-del-fuego/puerto-williams"">Puerto Williams</a> is the main access point for the trek which can be accessed on a flight from Punta Arenas. The town is very small so provisions are best acquired in Punta Arenas.</p>",regions/tierra-del-fuego/dientes-navarino,Mountain,,https://imgix.swoop-patagonia.com/40131457635_effd3c485f_o.jpg,-55.008656,-67.672711,Patagonia,Tierra del Fuego,,https://imgix.swoop-patagonia.com/40316238024_08ccb66b27_o.jpg,https://imgix.swoop-patagonia.com/26154281257_c9db0a5852_o.jpg,https://imgix.swoop-patagonia.com/OTP_3_CHINO_RTD_DIENTES2.jpg,
Easter Island,"Monolithic carved human figures stand guard to the majestic Easter Island, where you can experience the natural tropical beauty of beaches, waterfalls, forests and volcanoes. A small town on the island offers peaceful accommodation in a characterful lodge, with gardens filled with hummingbirds and fragrant flowers.","<p>Monolithic carved human figures stand guard to the majestic Easter Island, where you can experience the natural tropical beauty of beaches, waterfalls, forests and volcanoes. A small town on the island offers peaceful accommodation in a characterful lodge, with gardens filled with hummingbirds and fragrant flowers.</p>",chile/easter-island/easter-island,Island,,https://imgix.swoop-patagonia.com/Easter_Island_1.jpg,-27.1127,-109.3497,Patagonia,Santiago and Central Chile,,https://imgix.swoop-patagonia.com/Easter_Island_2.jpg,https://imgix.swoop-patagonia.com/Easter_Island_Gallery.jpg,,
EcoCamp Patagonia,"In the heart of Torres del Paine National Park, the Eco Camp is made up of a collection of geodesic domes, designed to minismise its environmental footprint. The domes provide accommodation ranging from comfortable standard domes with shared bathrooms to luxurious suite domes. A good selection of excursions with English speaking guides are on offer. Find out more about Eco Camp Patagonia.","<p>In the heart of Torres del Paine National Park, the Eco Camp is made up of a collection of geodesic domes, designed to minismise its environmental footprint. The domes provide accommodation ranging from comfortable standard domes with shared bathrooms to luxurious suite domes. A good selection of excursions with English speaking guides are on offer. Find out more about Eco Camp Patagonia.</p>",chile/torres-del-paine/hotels/eco-camp-patagonia,Glamping Site,,https://imgix.swoop-patagonia.com/Patagonia-0037.JPG,-50.97258242,-72.87630558,Patagonia,Torres del Paine,,https://imgix.swoop-patagonia.com/Patagonia-0183.jpg,https://imgix.swoop-patagonia.com/Fitzroy.JPG,https://imgix.swoop-patagonia.com/Eco_Camp_1c.jpg,https://imgix.swoop-patagonia.com/Eco_Camp_2c.jpg
El Bolsón,"El Bolson, a bustling tourist town in the Argentinian Lake District is known for its old hippies who came here from Buenos Aires in the 1970s and its local market selling artisan crafts. Located about an hour's drive from the Chilean border, El Bols&oacute;n is the closest town to Los Alerces National Park and is found in the southwest of R&iacute;o Negro Province, Argentina. Although there isn't an infinite number of things to do in the centre of El Bols&oacute;n, it is a nice place for a stroll and an ice cream, particularly when the weather is warm during Patagonian summer (Nov-March). El Bols&oacute;n is a only 1.5 hour's drive from Bariloche, and is a popular place from which to go trekking, horse riding, fly fishing and kayaking into the surrounding mountains, lakes and rivers.","<p>El Bols&oacute;n, a bustling tourist town in the Argentinian Lake District is known for its old hippies who came here from Buenos Aires in the 1970s and its local market selling artisan crafts.   Located about an hour's drive from the Chilean border, El Bols&oacute;n is the closest town to Los Alerces National Park and is found in the southwest of R&iacute;o Negro Province, Argentina.</p>↵<p>Although there isn't an infinite number of things to do in the centre of El Bols&oacute;n, it is a nice place for a stroll and an ice cream, particularly when the weather is warm during Patagonian summer (Nov-March).</p>↵<p>El Bols&oacute;n is a only 1.5 hour's drive from <a href=""http://www.swoop-patagonia.co.uk/landmark/bariloche/"">Bariloche</a>, and is a popular place from which to go trekking, <a href=""http://www.swoop-patagonia.co.uk/patagonia/horse-riding/"">horse riding</a>, fly fishing and <a href=""http://www.swoop-patagonia.co.uk/patagonia/kayaking/"">kayaking</a> into the surrounding mountains, lakes and rivers.</p>",argentina/lake-district/bolson,Town,,https://imgix.swoop-patagonia.com/statue.jpg,-41.96638285,-71.51704788,Patagonia,Argentine Lakes,,,,,
